Referencia	Título	Autor	Ilustrador	Edición	Editorial	Lugar de publicación	Año de publicación	ISBN	Formato	Encuadernación	Peso	Edición	Tirada	Firmado	Descripción	Estado del libro	Estado de la cubierta	Precio	Tipo de artículo	Cantidad	Catálogo	Palabras clave	Categoría de AbeBooks	URL imagen
4833	Nueva Dimensión	Varios autores			Nueva Dimensión		1982			Rústica					<p>1360. Nº145, Barcelona, 20x13,5, 160pgs., rústica</p>	Fatigado		4	Libro	1				
4834	Nueva Dimensión	Varios autores			Nueva Dimensión		1980			Rústica					<p>1361. Nº128, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4835	Nueva Dimensión	Varios autores			Dronte		1979			Rústica					<p>1362. Nº114, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4836	Nueva Dimensión	Varios autores			Nueva Dimensión		1980			Rústica					<p>1363. Nº127, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4837	Nueva Dimensión	Varios autores			Dronte		1979			Rústica					<p>1364. Nº115, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4840	Nueva Dimensión	Varios autores			Dronte		1979			Rústica					<p>1365. Nº117, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4841	Nueva Dimensión	Varios autores			Dronte		1979			Rústica					<p>1366. Nº113pgs., Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4842	Nueva Dimensión	Varios autores			Nueva Dimensión		1980			Rústica					<p>1367. Nº120, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4843	Nueva Dimensión	Varios autores			Nueva Dimensión		1981			Rústica					<p>1368. Nº135, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4844	Nueva Dimensión	Varios autores					1979			Rústica					<p>1369. Nº111, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4845	Nueva Dimensión	Varios autores			Nueva Dimensión		1982			Rústica					<p>1370. Nº141, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4846	Nueva Dimensión	Varios autores			Dronte		1979			Rústica					<p>1371. Nº110, Barcelona, 20x13,5, 190pgs., rústica, con pequeño deterioro en cubierta delantera</p>	Aceptable		4	Libro	1				
4847	Nueva Dimensión	Varios autores			Nueva Dimensión		1982			Rústica					<p>1372. Nº146, Barcelona, 20x13,5, 160pgs., rústica</p>	Aceptable		4	Libro	1				
4848	Nueva Dimensión	Varios autores			Dronte		1979			Rústica					<p>1373. Nº118, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4849	Nueva Dimensión	Varios autores			Nueva Dimensión		1980			Rústica					<p>1374. Nº129, Barcelona, 20x13,5, 192pgs., rústica</p>	Aceptable		4	Libro	1				
4878	Vientos contrarios	Flores Jaramillo, Renan			Casa de la cultura ecuatoriana		1979			Rústica					<p>1376. Ecuador, 18x12,5, 292pgs., rústica, con dedicatoria del autor</p>	Aceptable		4	Libro	1				
4879	Psicotecnia	Giese, Fritz			Labor Biblioteca de iniciación cultural		1933								<p>1377. Barcelona, 19x13, 191pgs., tela edit. , con 34 figuras en el texto y 8 láminas, con sello</p>	Aceptable		5	Libro	1				
4880	Fundamentos filosóficos de la pedagogía	Messer, August			Labor Educación		1927								<p>1378. Barcelona, 19x12,5, 167pgs., tela edit</p>	Aceptable		4	Libro	1				
4882	Educación sin esfuerzo, La	Demenÿ, Jorge			Daniel Jorro Biblioteca científico filosófica		1928			Rústica					<p>1380. Madrid, 19,5x12,5, 218pgs., rústica, con pequeño deterioro en cubierta delantera</p>			5	Libro	1				
4884	Origen de la vida y del hombre	Haas, Adolf			Biblioteca de autores cristianos		1963								<p>1381. Madrid, 20x13, 552pgs., tela edit</p>	Aceptable		6	Libro	1				
4886	Triunfo de las lises, El	Danvila, Alfonso			Espasa-Calpe Las luchas fraticidas de España		1931								<p>1382. Madrid, 18,5x12,5, 255pgs., encuadernación en cartoné algo fatigada en puntas</p>			8	Libro	1		Histórica		
4892	Obra y vida de Francisco de Figueroa	Maurer, Christopher			Itsmo Bella Bellatrix		1988			Rústica					<p>1386. Madrid, 22,5x14,5, 461pgs., rústica</p>	Aceptable		4	Libro	1				
4893	Maravillas del mar, Las	Colosi, Giuseppe			Juventud		1952								<p>1387. Barcelona, 25x18, 276pgs., holandesa, algo deteriorada en puntas y cubierta delantera, con ilustraciones en B/N</p>			4	Libro	1				
4894	Servicio militar obligatorio, El	Pulido, Angel			Establecimiento tipográfico de El Libera		1911			Rústica					<p>1388. Madrid, 19,5x13, 205pgs., rústicacon pequeños deterioros en lomo, falta portada</p>			4	Libro	1				
4901	Espíritu militar español, El. Réplica a Alfredo de Vigny	Vigón, Jorge			Rialp Biblioteca del pensamiento actual		1950			Rústica					<p>1391. Madrid, 19x12,5, 221pgs., rústica, fatigado</p>			3	Libro	1				
4902	Reconstrucción de la razón,  la. Elías Díaz, entre la ética y la política	Bañuls Soto, Fernando			MG		2004			Rústica					<p>1392. Alicante, 24x17, 396pgs., rústica</p>	Fatigado		5	Libro	1				
4934	A éstos que los fusilen al amanecer!	Pérez Morán, Domingo			G. del Toro		1973								<p>1393. Madrid, 20,5x14, 324pgs., cartoné edit. con sobrecubierta</p>	Aceptable		6	Libro	1				
4936	Anales Seguntinos. Revista de estudios seguntinos				Gráficas Nueva Alcarria		1984								<p>1394. Sigüenza, 23,5x16,5, 189pgs., r´sutica, con firma</p>	Aceptable		4	Libro	1				
5014	Hombre romántico, El	Caba, Pedro			Colenda		1952			Rústica					<p>1403. Madrid, 22x16,5, 374pgs., rústica, encuadernación deteriorada a falta de una parte del lomo</p>			7	Libro	1				
5039	Fábulas mitológicas y épica burlesca	De la Cueva, Juan			Editora nacional Bibliot. de la Lit. y el pensamiento his		1984			Rústica					<p>1412. Nº58, Madrid, 18x11,5, 247pgs., rústica, cubiertas y lomo muy rozados</p>	<no especfificado>		6	Libro	1				
5049	Anuario 2006 de Estudios Celianos. La obra del literato y sus alrededores: Estudios críticos en torno a Camilo José Cela				UCJC-Fundación Camilo José Cela		2006			Rústica					<p>1417. 21x16, 310pgs., rústica</p>	Aceptable		6	Libro	1				
5055	Chiang Kai-Shek avanza	Paneth, Philip			José Janés Los libros de nuestro tiempo		1945								<p>1419. Barcelona, 22x15,5, 185pgs., tela edit. algo fatigada</p>			6	Libro	1		China		
5056	Método Lacome. Cien lecciones teórico-prácticas	Lacome G. Arquiaga, Carlos			Librería de Fernando Fé		1904								<p>1420. Madrid, 25x16,5, 456pgs., cartoné edit. encuadernación deteriorada, con anotaciones en guardas</p>			6	Libro	1				
5060	Estampas de un reinado	De la Calzada, Luciano			Afrodisio Aguado Vida e Historia		1957			Rústica					<p>1421. Madrid, 25x17,5, 205pgs., rústica, fatigado, firma de anterior propetaria, con ilustraciones en B/N. Ensayo histórico sobre el reinado de los reyes Católicos</p>			9	Libro	1				
5075	XXV Odas de Horacio	Badosa, Enrique			Pamiela		1992								<p>1426. Pamplona, 22,5x16, 174pgs., cartonñe edit., ilustración de cubierta de Subirachs</p>	Aceptable		4	Libro	1				
5079	Romance de la Vía Láctea	Hearn, Lafcadio			Espasa-Calpe Contemporánea		1921			Rústica					<p>1427. Madrid, 20x13, 201pgs., rústica, encuadernación fatigada, intonso</p>			4	Libro	1				
5082	Crónica de América	Medina, Tico			Bitácora		1994			Rústica					<p>1428. Madrid, 24x17, 736pgs., rústica, fatigado en puntas. Crónicas publicadas en el periódico ABC</p>			4	Libro	1				
5084	Museo etnográfico del trocadero, El	Ballesteros-Gaibrois			Tipografía de Archivos Olózaga		1936								<p>1429. Madrid, 24,5x17, 12pgs., cuadernillo, algo fatigado</p>			3	Libro	1				
5086	Os meus cantares. Poesías gallegas	Vázquez Gundín, Eugenio					1968			Rústica					<p>1431. Lugo, 20x14, 153pgs., rústica, fatigado en puntas, edición en gallego. Con dedicatoria del autor</p>			5	Libro	1				
5095	Tres veces mujer	Grushenka			EDASA		1968								<p>1433. México, 21x14, 216pgs., cartoné edit. con sobrecubierta algo deteriorada, primera edición en español</p>			5	Libro	1		Erotismo		
5104	Servicio nacional de concentración parcelaria y ordenación rural				MInisterio de Agricultura		1963								<p>1435. 2Tomos, 28x23, 245 y 379pgs., por tomo, tela edit. con sobrecubiertas fatigadas, ilustrado con mapas y con fotografías en B/N</p>			20	Libro	1				
5113	Atención Guatemala	De Heredia, Manuel			Prensa española										<p>1439. Madrid, 21x15, 283pgs., cartoné edit. con sobrecubierta fatigada. 0</p>			3	Libro	1				
5116	Placeres prohibidos. Las memorias íntimas de Dame Jane Everleigh				Robin Book		1991			Rústica					<p>1440. Barcelona,21,5x14, 252pgs., rústica</p>	Aceptable		4	Libro	1		Erotismo		
5118	Roca del adiós, La	Williams, Tad			Timun Mas		1991								<p>1441. Barcelona, 23,5x15, 598pgs., cartoné edit. con sobrecubierta algo deteriorada. Libro II de Añoranzas y pesares</p>			6	Libro	1				
5119	NIño impedido, El. Sus dificultades. Su drama. Su curación	Van Roy, Fabienne			Kapelusz		1960			Rústica					<p>1442. Buenos Aires, 19,5x14,5, 238pgs., rústica, fatigado, encuadernación algo deteriorada, con firma de anterior propietaria, con sello en última página</p>			3	Libro	1				
5120	Higiene prenatal	Dauphin, Andrée			Luis Miracle Bibliot. Práctica de Psicología y psicop		1954								<p>1443. Barcelona, 19x13, 91pgs., tela edit. fatigada</p>			3	Libro	1				
5121	Dama de los peces de colores, La	Medina, Tirso			Calpe Los humoristas		1924			Rústica					<p>1444. Madrid, 20x14, 211pgs., rústica, fatigado</p>			3	Libro	1		Humor		
5123	Obras completas	Cela, Camilo José			Destino - Planeta-De Agostini		1989								<p>1445. Nº1, Barcelona, 20x13, 494pgs., cartoné edit., el tomo contiene las obras: "La familia de Pascual Duarte", "Pabellón de reposo" y "NUevas andanzas y desventuras de Lazarillo de Tormes</p>	Aceptable		4	Libro	1				
5124	Obras completas	Cela, Camilo José			Destino - Planeta-De Agostini		1989								<p>1446. Tomo II, Barcelona, 20x13, 512pgs., cartoné edit., el libro incluye las obras: "Nuevo retablo de don Cristobita", "esas nubes que pasan", "El bonito crimen del carabinero y otros engaños y ofuscaciones" y "baraja de intenciones</p>	a		3	Libro	1				
5125	Memoria didáctica. Arte-estética-Humanismo-investigación y docencia	Rubio Vergara, J. M.ª			Raycar		1979			Rústica					<p>1447. Madrid, 23,5x17, 454pgs., rústica. Libro editado con motivo del vigésimo aniversario de la Fundación del fomento de las artes y de la estética F.A.E</p>	Aceptable		5	Libro	1				
5130	Juan de Bobón	Zavala, José Mª. - Duque, Aquilino			Ediciones B Cara Cruz		2003			Rústica					<p>1448. Nº5, Barcelona, 21x12,5, 256pgs., rústica, con fotografías en B/N fuera de texto</p>	Aceptable		3	Libro	1				
5150	Scotland Yard	Sir Harold Scott			Espasa-Calpe		1957								<p>1454. Madrid, 22,5x15,5, 328pgs., tela edit. con sobrecubierta algo deteriorada. con pintadas en guardas posteriores. En el libro se describen entre otros los preparativos de la coronación de la Reina Isabel II de Inglaterra, la visita del Mariscal Tito , el robo de la piedra de la coronación, entre otros capítulos de la historia de ésta institución</p>			10	Libro	1				
5159	Mujeres	Picón, Jacinto Octavio			Renacimiento Obras completas					Rústica					<p>1459. Tomo IV de las obras completas, Madrid, 19,5x13, 286pgs., rústica, cubiertas y lomo algo deteriorados. 0</p>			3	Libro	1				
5190	Censura del guión en España	Heredero García, Rafael			Ediciones de la Filmoteca Textos		2000			Rústica					<p>1466. Nº20, Valencia, 24x17,5, 532pgs., rústica, con fotografías en B/N</p>	Aceptable		12	Libro	1				
5211	Construcción con prefabricados de hormigón y hormigó armado	Kiehne, S. - Bonatz, P			Reverté		1954								<p>1470. Barcelona, 22,5x17, 364pgs., tela edit., con sobrecubierta con deterioros, firma de anterior propietario</p>			12	Libro	1				
5224	Geografia gráfica de España	De Cárcer de Montalbán, Antonio			Hymsa										<p>1473. Barcelona, 25,5x18,5, 594pgs., tela edit. decorada, ilustrado con numerosas fotografías en B/N. 0</p>	Aceptable		15	Libro	1				
5235	Documentos relativos a la desecación del valle de México				Intemac 		1991								<p>1476. Madrid, 25x17,5, 425pgs., cartoné edit., compilación y estudio crítico  de Ana María Calavera. Ejemplar Nº 339 de una edición de 1.300, editada en inglés y castellano</p>	Aceptable		15	Libro	1				
5243	Varios (pinturas, plásticos y linóleo)	Arredondo, A - Soria, F			Consejo S. de Investigaciones Científic. Estudio de materiales		1963			Rústica					<p>1479. NºX, Madrid, 22,5x16,5, 114pgs., rústica</p>	<no especfificado>		5	Libro	1				
5246	Conexión Bulgari	Weldon, Fay			Diagonal		2002								<p>1482. Barcelona, 24x17, 269pgs., cartoné edit. con sobrecubierta ligeramente fatigada</p>			3	Libro	1				
5248	Jaque a la constitución	Del Burgo, Jaime Ignacio			E. Académicas		2003			Rústica					<p>1483. Madrid, 21,5x15,5, 272pgs., rústica, ligeramente fatigado</p>			4	Libro	1				
5249	Calidad de vida	De España, Ramón			Planeta Autores españoles e hispanoamerican		2004								<p>1484. Barcelona, 24x16, 257pgs., cartoné edit. con sobrecubierta ligeramente fatigada</p>			4	Libro	1				
5252	Anales				R. Academia de Jurisprudencia y Legis		2004			Rústica					<p>1487. Nº34, Madrid, 23,5x16,5, 844pgs., rústica</p>	Aceptable		6	Libro	1				
5257	Estudios sobre el Romancero	Menéndez Pidal, R			Espasa-Calpe Obras completas		1973			Rústica					<p>1488. Tomo XI, Madrid, 23x16, 517pgs., rústica</p>	Aceptable		6	Libro	1				
5264	Cartas marruecas . Noches lúgubres	Cadalso, José			PPU Textos universitarios		1989			Rústica					<p>1490. Nº8, Barcelona, 20x12,5, 368pgs., rústica, cubiertas ligeramente faigadas</p>	<no especfificado>		5	Libro	1				
5266	Proceso penal, El	Fenech, MIguel			Agesa		1978			Rústica					<p>1491. Madrid, 24x17, 476pgs., rústica, fatigado, con firmas de anteriores propietarios y subrayados en el índice</p>			3	Libro	1				
5274	Guarnición de silla	Grosso, Alfonso			Viamonte Encuentros		2000			Rústica					<p>1493. Nº2, Madrid, 22x12,5, 253pgs., rústica, ligeramente fatigado</p>			4	Libro	1				
5284	Escalafón general de los Sres. jefes y oficiales del arma de caballería				Imprenta de Victoriano hernando		1863								<p>1495. Madrid, 11x16,5, 339pgs., holandesa fatigada, con firma de anterior propietario. Incluye además el escalafón de los profesores del cuerpo de veterinaria militar y la de los picadores del ejército</p>			15	Libro	1				
5292	Estilo, el problema y su solución, El	Gray, Bennison			Castalia Thoeria Castalia		1974			Rústica					<p>1496. Madrid, 19x13,5, 170pgs., rústica, fatigado</p>			3	Libro	1				
5298	Jardines				Hijos de E. Minuesa Arquitectura y construcción		1986			Rústica					<p>1497. Nº1-Septiembre-Octubre, Madrid, 31x21,5, 80pgs., rústica, algo fatigada en puntas, con numerosas ilustraciones y fotografías en B/N. Número dedicado a los principios de la jardinería hasta el jardín hispanomusulmán</p>			4	Libro	1		jardines		
5299	Jardines				Hijos de E. Minuesa Arquitectura y construcción		1986			Rústica					<p>1498. Nº2, Madrid, 31x21,5, 80pgs., rústica, ligeramente fatigada, con numerosas ilustraciones y fotografías en B/N. Número dedicado a los jardines italianos</p>			4	Libro	1		jardines		
5300	Jardines				Helios Arquitectura y construcción		1989			Rústica					<p>1499. Nº3, Madrid, 31x21,5, 80pgs., rústica, ligeramente fatigada, con numerosas ilustraciones y fotografías en B/N. Número dedicado a los jardines franceses</p>			4	Libro	1		jardines		
5309	Grandes constructores de Los Estados Unidos	Murray Butler, Nicholas			Cronos		1944			Rústica					<p>1501. Buenos Aires, 23x16,5, 280pgs., rústica, fatigado, cubiertas con pequeños deterioros, con sello</p>			4	Libro	1				
5310	Andalucía, mas que nacionalidad	Acquaroni, José Luis			Noguer El documento vivo		1980			Rústica					<p>1502. Barcelona, 22x14,5, 146pgs., rústica, fatigado, con subrayado en página 31</p>			3	Libro	1				
5311	Castillo de Javier, El	Recondo, José Mª			Gómez Ipar		1963			Rústica					<p>1503. Pamplona, 19,5x13, 92, rústica, con fotografías en B/N</p>	Aceptable		3	Libro	1				
5312	Historia de la Nueva España. La conquista de México	Cortés, Hernán			Amigos del círculo del bibliófilo		1981								<p>1504. Barcelona, 27,5x20, alrededor de 400pgs., simil piel, decorada, ilustrado, con ex libris. Ejemplar Nº 397 de una edición estrictamente limitada y numerada a 1499 ejemplares.  La primera tirada esta edición facsimilar de Historia de Nueva-España por Hernán Cortes, reproduce fielmente la edición de México de 1770. Pequeño deterioro en el lomo</p>	Aceptable		50	Libro	1				
5327	Chopos, Los. Plantaciones en masa	Hernández León, Manuel			Cajas rurales de Aragón, Navarra y Rio		1981			Rústica					<p>1510. Zaragoza, 24x16, 70pgs., rústica, fotografías en B/N</p>	Aceptable		3	Libro	1				
5329	Lauro Olmo, Fé de vida	Varios autores			Asociación de autores de teatro		1995			Rústica					<p>1511. Valencia, 21x15, 155pgs., rústica. Artículos de varios autores sobre la figura de Lauro Olmo</p>	Aceptable		3	Libro	1				
5333	Desierto invade España, El	Toharia, Manuel			Instituto de estudios económicos Tablero		1988			Rústica					<p>1512. Madrid, 23,5x16, 156pgs., rústica, cubiertas algo manchadas</p>			3	Libro	1				
5335	Clarín y "La Regenta	Avello, Manuel F			CIA. de los FF:CC:económicos de Astur		1985			Rústica					<p>1514. Oviedo, 17x11,5, 215pgs., rústica</p>	Fatigado		3	Libro	1				
5336	Comentario de textos, El	Hernández Sánchez-Barba, M			Tebar Flores		1978			Rústica					<p>1515. Albacete, 25,5x18, 149pgs., rústica</p>	Fatigado		3	Libro	1				
5338	Breve introducción a la literatura	Lacalle,  Ángel			América Textos de iniciación cultural		1941			Rústica					<p>1516. Valencia, 19,5x13, 76pgs., rústica, fatigado</p>			3	Libro	1				
5339	Territorios del verbo	Martín, Sabas			Academia nacional de la historia El libro menor		1992			Rústica					<p>1517. Nº184, 19,5x12,5, 206pgs., rústica, fatigado</p>			3	Libro	1				
5368	Obra teatral	Gil Albors, Juan Alfonso			Ayuntamiento de Valencia Escritores valencianos		1993								<p>1523. Nº3, Valencia, 22,5x15,5, 367pgs., cartoné edit. con sobrecubierta</p>	Aceptable		6	Libro	1				
5373	Para vivir el concilio	Padre Lombardi			Editorial Católica B.A.C		1970								<p>1526. Madrid, 20x13, 588pgs., tela edit, con sobrecubierta fatigada</p>			3	Libro	1				
5396	Poesía de María Victoria Atencia. Un acercameinto crítico	Keefe Ugalde, Sharon			Huerga-Fierro Fenice textos		1998			Rústica					<p>1532. Nº3, Madrid, 21,5x13,5, 185pgs., rústica</p>	Aceptable		3	Libro	1				
5399	Mente y emotividad en la creación poética	Del Amo, Javier			Tres-Catorce-Diecisiete Alatar		1982			Rústica					<p>1533. Nº8, Madrid, 21,5x13,5, 136pgs., rústica, fatigado</p>			4	Libro	1				
5463	A los que lloran la muerte de un ser querido	Leadbeater, C.W			Sirio		1985								<p>1545. Málaga, 21x13,5, 60pgs., ilustrado</p>	Aceptable		3	Libro	1				
5502	Teoría de la música				Sociedad Didáctico-Musical		1958			Rústica					<p>1550. 2Tomos, Madrid, 23,5x16,5, 51 y 67pgs.por tomo, rústica, fatigados, con sellos</p>			5	Libro	1				
5503	Don Juan	Mozart, Wolfgang Amadeus			Cátedra - Expo 92		1992			Rústica					<p>1551. Madrid, 23x14,5, 183pgs., rústica, con sobrecubierta fatigada, con sello. Libreto de Lorenzo da Ponte</p>			4	Libro	1				
5518	Cómo funciona el espionaje soviético en Extremo Oriente	Conde Karol de Czola-Öla			Espasa-Calpe		1942			Rústica					<p>1553. Madrid, 18,5x12,5, 241pgs., rústica, fatigado, cubiertas con deterioros</p>			4	Libro	1				
5527	Peregrinos del señor (miniaturas del santoral)	Melendres, Miguel. Pbro			Publicaciones y ediciones Spes		1942								<p>1555. Barcelona, 17x11,5, 334pgs., cartoné, con lomo escrito con tinta, dedicatoria de anterior propietario</p>			3	Libro	1				
5528	Sensación y sinestesia	Schrader, Ludwing			Gredos Biblioteca románica hispánica		1975			Rústica					<p>1556. Nº224, Madrid, 20,5x14,5, 528pgs., rústica, intonso. Estudios y materiales para la prehistoria de sinestesia y para la valoración de los sentidos en las literaturas italiana, española y francesa</p>	Fatigado		15	Libro	1				
5529	Diagnóstico Röntgenológico de las enfermedades internas	Assmann, H			Labor		1952								<p>1557. 2Tomos, Barcelona, 25,5x19, 1258pgs. entre los dos tomos, tela edit., ligeramente manchada, páginas finales de índice con humedad, ilustrado en B/N</p>			15	Libro	1				
5530	Enfermedades del hígado	Eppinger, Hans			Labor		1941								<p>1558. Barcelona, 25,5x17,5, 805pgs., tela edit. fatigada, con manchas de óxido, ilustrado en B/N y color</p>			4	Libro	1				
5531	Embriología del hombre y demás invertebrados. Tomo 2º, Organogénesis	Pujiula, Jaime			Casals		1943								<p>1559. Barcelona, 25,5x18, 531pgs., tela edit., manchas de humedad en interior y canto del libro, ilustrado en B/N</p>			9	Libro	1				
5533	Lesiones reumáticas del aparato circulatorio	Dietrich, Siegfried			Pegaso Medicina		1942								<p>1561. Nº5, Madrid, 22,5x16,5, 206pgs., r´sutica, fatigado, con algunas manchas de humedad, con 34 figuras</p>			3	Libro	1				
5535	Piedras biliares, Las	Pineda, Juan Antonio			Emeká Dígame, Doctor		1991			Rústica					<p>1562. Nº12, Barcelona, 21,5x12,5, 177pgs., rústica</p>	Aceptable		3	Libro	1				
5543	Literatura y neurosis	Del Amo, Javier			Editora Nacional		1974			Rústica					<p>1567. Madrid, 21x14, 144pgs., rústica, fatigado</p>			3	Libro	1				
5547	Traición del granadero, La	Núñez de Prado, G			Gallach Biblioteca de episodios americanos					Rústica					<p>1568. Nº1, Barcelona, 19x12, 249pgs., rústica, deteriorado, ilustrado en B/N. 0</p>			6	Libro	1				
5554	Ojo clínico, El	Rodero, Lorenzo			Javier Morata		1934			Rústica					<p>1570. Madrid, 19,5x13, 230pgs., rústica, fatigado, con dedicatoria del autor</p>			9	Libro	1				
5555	Hilgard y Marquis .Condicionamiento y aprendizaje	Kimble, Gregory A			Trillas		1971								<p>1571. México, 23,5x16, 648pgs., fatigado, con subrayados</p>			8	Libro	1				
5556	Arpa en el contexto musical de hispanoamérica y Filipinas a partir de la era del	Calvo-Manzano,  María Rosa			Asociación arpista Ludovico		1993								<p>&nbsp;Valladolid, 32,5x22, 283pgs., tela edit. con sobrecubierta ligeramente fatigada en parte superior, ilustrado a color por Pilar de Arístegui y fotografías en B/N fuera de texto, con dedicatoria de la autora. Ejemplar Nº147 de 1.000</p>	Aceptable		25	Libro	1				
5557	Cuando Inglaterra quedó sola	Estrada, José Joaquín			Rubiños		1940			Rústica					<p>1573. Madrid, 20x14,5, 142pgs., rústica, deteriorado</p>			3	Libro	1				
5566	Vida de María	Willam, Francisco Miguel			Librería Herder		1942								<p>1576. Barcelona, 20x13, 365pgs., tela edit.fatigada, con dedicatoria de anterior propietario, con numerosas láminas en B/N y una a color</p>			6	Libro	1				
5575	Voleibol	Blume, Günter			Martínez Roca Deportes		1989			Rústica					<p>1578. Barcelona, 21,5x14,5, 175pgs., rústica, con ilustraciones y fotografías en B/N</p>	Aceptable		4	Libro	1				
5577	Triunfo, El	Weis, Margaret - Hickman, Tracy			Timun Mas La Espada de Joram		1989								<p>1579. Volumen 3, Barcelona, 21x12,5, 452pgs., cartoné edit. con sobrecubierta deteriorada</p>			4	Libro	1		Fantasía		
5578	La Profecía	Weis, Margaret - Hickmam, Tracy			Timun Mas La Espada de Joram		1988								<p>1580. Volumen 2, Barcelona, 20,5x12,5, 532pgs., cartoné edit. con sobrecubierta deteriorada</p>			4	Libro	1		Fantasía		
5583	Tras el largo silencio	Tepper, Sheri S			Timun Mas		1992								<p>1582. Barcelona, 23x14,5, 348pgs., cartoné edit. con sobrecubierta fatigada</p>			5	Libro	1		Fantasía		
5587	Guerra de los enanos, La	Weis, Margaret - Hockman, Tracy			Timun Mas Leyendas de la Dragolance		1989			Cartoné editorial					<p>1583. Volumen II, Barcelona, 20,5x12,5, 528pgs., cartoné edit. con sobrecubierta</p>	Aceptable		4	Libro	1		Fantasía		
5588	Caballero de Solamina, El	Williams, Michael			Timun Mas Héroes de la dragolance		1989								<p>1584. Volumen III, Barcelona, 20,5x12,5, 384pgs., cartoné edit. con sobrecubierta fatigada</p>			4	Libro	1		Fantasía		
5591	Homanaje a Mario Vargas Llosa				Unión de bibliófilos extremeños		2005			Rústica					<p>1585. Badajoz, 25x20, 123pgs., rústica</p>	Aceptable		3	Libro	1				
5593	Poesía en Badajoz en 2005, La				Excmo. Ayuntamiento de Badajoz El vuelo de la palabra		2005								<p>1586. Badajoz, 24x14, 184pgs., cartoné edit</p>	Aceptable		3	Libro	1				
5598	En la ciudad de Badajoz 1440-1442. Discordias y concordias en un tiempo convulso				Tecnigraf		2005			Rústica					<p>&nbsp;Badajoz, 30x21, rústica, edición facsimil de tres manuscritos</p>	Aceptable		4	Libro	1				
5599	Pasos de Canogar, Los	Becotas, Enrique - Sempere, Pedro			Quindici editores		2006								<p>1588. Madrid, 17x22,5, 270pgs., tela edit. con sobrecubierta fatigada, con fotografías en B/N</p>			5	Libro	1				
5602	Técnicas básicas de educación física	Jacobson, Phyllis - Valentine, Ann			Ceac Libros Cúpula		1980			Rústica					<p>1589. Barcelona, 21x15,5, 251pgs., rústica, con sello en el canto, con fotografías en B/N</p>	Aceptable		4	Libro	1				
5607	Idearío olímpico. Discursos y ensayos	De Couberrin, Pierre			Instituto Nacional de Educación Física Los que en el estadio corren		1973								<p>1590. Nº1, Madrid, 21,5x15,5, 243pgs., tela edit. con sobrecubierta algo fatigada</p>			4	Libro	1				
5608	Primeros auxilios en la actividad físico-deportiva	Torrado, Manuel			Miñón Kiné		1978			Rústica					<p>1591. Valladolid, 24x17, 267pgs., rústica, con ilustraciones en B/N</p>	Aceptable		6	Libro	1				
5611	Dietética deportiva	Creff, A.F. - Bérard, L			Toray-Masson		1977			Rústica					<p>1593. Barcelona, 24x16, 162pgs., rústica</p>	Aceptable		4	Libro	1				
5614	Fútbol. Juegos para el entretenimiento	Lammich, Günter			Stadium		1986			Rústica					<p>1595. Buenos Aires, 22,5x15,5, 159pgs., rústica, con sellos</p>	Aceptable		4	Libro	1				
5620	Elementos de psicopedagogía deportiva	Rioux, Georges - Chappuis, Raymond			Miñón Kiné		1972			Rústica					<p>1598. Valladolid, 24x17, 109pgs., rústica, con algun apágina subrayada a lápiz, con fotografías en B/N</p>	Aceptable		4	Libro	1				
5626	Principios didácticos de la educación física	Seybold, Annemarie			Kapelusz Educación física		1976			Rústica					<p>1601. Buenos Aires, 21,5x15, 127pgs., rústica, ligeramente fatigado, con sello</p>			3	Libro	1				
5627	Bases biológicas del ejercicio y del entrenamiento	Nöcker, Josef			Kapelusz Educación física		1980			Rústica					<p>1602. Buenos Aires, 21,5x15, 126pgs., rústica, alguna página subrayada a lápiz, con sello</p>	Aceptable		3	Libro	1				
5629	Educación físico deportiva. Enseñanza-Aprendizaje	Pila Teleña, Augusto			Augusto E. Pila Teleña Didáctica		1985			Rústica					<p>1603. Madrid, 24x17, 448pgs., rústica, con ilustraciones en B/N</p>	Aceptable		8	Libro	1				
5630	Estudio monográfico de los jugadores de campo	Falkowski, Manuel M. - Enríquez, Ernesto			Esteban Sanz Martínez		1982			Rústica					<p>1604. Tomo I, Madrid, 24x17, 428pgs., rústica, ligeramente fatigado, ilustrado en B/N</p>			6	Libro	1				
5632	Cuadernos Hispanoamericanos 589-590						1999			Rústica					<p>Dossier: Eugenio d'Ors</p>	Aceptable		8	Libro	1		Ensayo		
