Referencia	Título	Autor	Ilustrador	Edición	Editorial	Lugar de publicación	Año de publicación	ISBN	Formato	Encuadernación	Peso	Edición	Tirada	Firmado	Descripción	Estado del libro	Estado de la cubierta	Precio	Tipo de artículo	Cantidad	Catálogo	Palabras clave	Categoría de AbeBooks	URL imagen
51	Crimen de amor, un	Bourget, Paul			Saenz de Jubera, hermanos		1920								106. rust, 239pgs. Deteriorado	<no especfificado>		4	Libro	1				
178	Moins de 4 ans á l´école maternelle,les	Brulé,H			Armand Colin,librairie; bourrelier col		1970			Rústica					113	Aceptable		7	Libro	1				
1778	Golondrinas sobre el jardín	Bruns, Mariana			Hymsa	Barcelona	1944			Tela editorial decorada					<p>114</p>	Aceptable		4	Libro	1				
775	Avances en Farmacología y terapéutica	Burn, J.H			Espasa Calpe		1944			Rústica					115. Madrid, 21x15, 395pgs., rústica, con ilustraciones, "intonso", cubierta delantera con deterioro	<no especfificado>		3	Libro	1				
1113	Narrativa de René Marqués	Caballero, Maria M			Playor Biblioteca de autores de Puerto Rico	Madrid	1986			Rústica					116. Madrid, 20x13, 318pgs., rústica, ed., fatigado	Regular		4	Libro	1				
1756	Morceaux choisis des grands écrivains français et pages célèbres des littérature	Cahen, Albert			Librairie Hachette	París				Cartoné editorial					<p>117. deteriorado en puntas y título del lomo</p>	Regular		6	Libro	1				
1418	Hijos diferentes, Los - El subnormal, miembro de la familia	Cambrodí, Antonio			Terra	Barcelona	1967			Tela editorial					<p>119</p>	Aceptable		5	Libro	1				
249	Trabajo de sociólogo,el	Castillo, Juan josé			Complutense		1994								126. rust,427pgs	<no especfificado>		7	Libro	1				
1031	Virgen de la selva, la - Aventuras entre los pieles rojas	Celestino Testore			Cultura misional Narraciones de tierras lejanas	Bilbao	1940			Rústica					<p>131. Con ilustraciones y sello en portada</p>	Aceptable		11	Libro	1				
964	Como la estrella	Corbera Fradrera, Carolina			Lincor		1958								133. Madrid, 20x12, 304pgs., cartoné, con dedicatoria de la autora,lomo deteriorado y parte superior de la portada	<no especfificado>		9	Libro	1				
990	Rosas rojas de sangre	Cruz, Alberto			Aire		1997			Rústica					<p>139. Madrid, 21x13, 269pgs., rústica</p>	<no especfificado>		6	Libro	1				
991	Rosas rojas de sangre	Cruz, Alberto			Aire		1997			Rústica					<p>140. Madrid, 21x13, 269pgs</p>	Aceptable		6	Libro	1				
611	Unico camino, El	Cuchi, Rosa			Espasa Calpe		1956			Rústica					141. Madrid, 132pgs., rústica	Aceptable		3	Libro	1				
968	Tres hombres para nuestra éspoca	Chiappini, Felix			Mosca		1943			Rústica					144. Montevideo, 20x14, 242pgs., rústica, con sellos, lomo deteriorado	<no especfificado>		6	Libro	1				
1779	Benoní, "Hijo de mi dolor	Dandolo, Milli			Hymsa	Barcelona	1944			Tela editorial decorada					<p>148</p>	Aceptable		4	Libro	1				
1649	Arrogante historia de Ben, La	Dane, Clemente			José Janés Manantial que no cesa	Barcelona	1947			Tela editorial					<p>149</p>	Aceptable		4	Libro	1				
782	Cambio para mejorar	Davis, Patricia			Aguilar		1996			Rústica					150. Madrid, 24x15, 218pgs., rústica	<no especfificado>		4	Libro	1				
1367	Carta de las naciones unidas y su posible reforma	De Azcárraga, José Luis			Ediciones "San Raimundo de Peñafort" del	Madrid	1955			Rústica					<p>154</p>	Aceptable		5	Libro	1				
1634	Dos tumbas en Normandia	De Cambra, Fernando P		1ª Edición	Vives Colección Perseo	Barcelona	1945			Tela editorial		1ª Edición			<p>155</p>	Aceptable		5	Libro	1				
1509	Ferias de Madrid, Las	De Vega, Lope			Instituto nacional del libro español	Madrid	1962			Rústica					<p>162. Edición conmemorativa de la feria nacional del libro, con motivo del IV centenario del nacimiento del autor, con sello en la portada</p>	Aceptable		5	Libro	1				
656	Desconcentración orgánica y potestad vicaria	Delgado, Gregorio			EUNSA		1971			Rústica					165. Pamplona, 339pgs., rústica	Aceptable		3	Libro	1				
60	Desarrollo intelectual de nuestros hijos	Dietrich,Klaus			Fontanella Educación		1976								169. nº29	<no especfificado>		3	Libro	1				
799	Lavado pulmonar, El	Dr. Garcia Vicente			Compañia iberoamericana de publicaciones		1929								<p>171. Madrid, 24x17, 151pgs, tela, con ilustraciones, firma estampada del autor, lomo fatigado</p>	Encuadernación algo suelta		4	Libro	1				
512	Cesarina	Dumas hijo, Alejandro			Viuda de Luis Tasso										<p>173. Barcelona, 18x11, 327pgs., holandesa tela, firma del anterior propietario 0</p>	<no especfificado>		5	Libro	1				
1492	Subnormal personalities	Earl, C.J.C			Baillière, Tindall and Cox	London	1961			Tela editorial					<p>174</p>	aceptable		6	Libro	1				
863	Girona - Entre 4 Rius	Fabre, Jaume			Ajuntament de Girona		1986			Tela editorial					<p>182. Girona, 33x23, 267pgs., tela ed. con sbr., fotografias B/N</p>	sobrecubierta deteriorada		10	Libro	1				
1316	Inventores españoles	Fernández Rúa, José L			Publicaciones españolas temas españoles	Madrid	1954			Cuadernillo					188. pequeño roto en la portada, con fotografías en B/N	Regular		4	Libro	1				
1319	Historia universal de la cultura. Tomo II	Ferrandis Torres, Manuel			Atlas	Madrid	1956			Rústica					<p>192. con firma del anterior propietario y subrayados en las primeras páginas, con fotografías en B/N</p>	Regular		10	Libro	1				
1022	Desarrollo economico y estabilidad	Figueroa Martinez, Emilio de			Instituto social Leon XIII	Madrid	1958			Cuadernillo					<p>194. Discurso de apertura del año academico</p>	Fatigado		3	Libro	1				
1249	Escuela, La	Findlay, J.J			Labor Biblioteca de iniciación cultural	Barcelona	1928			Tela editorial					<p>195. con 12 láminas</p>	aceptable		4	Libro	1				
8	Americanos de norteamerica	Frank, J			Alejo climent		1946			Rústica					<p>199. 13, 150pgs., rústica, lomo deteriorado</p>	Encuadernación algo deteriorada		4	Libro	1				
704	Kennedy	Gallego, Gregorio			Castell Grandes personajes		1990			guaflex editorial					206. Barcelona, 22x13, 235pgs., guaflex, con fotografias	Aceptable		4	Libro	1				
794	Prontuario de análisis de orina y semiología urinaria	Gallo, Carmine			Wasserman		1936			Rústica					207. Barcelona, 22x14, rústica, con ilustraciones	<no especfificado>		4	Libro	1				
1781	Colegiata de Medina del Campo y otros estudios, La	Garcia Chico, Esteban			Gráficas Andrés Martín El arte en Castilla	Valladolid	1957			Rústica					<p>209. Tomo I, 134pgs. de texto y 74pgs. de láminas en B/N</p>	Fatigado		10	Libro	1				
351	Código de las leyes administrativas	Garcia de Enterria			Civitas		1976								210. Madrid,25x17,2514pgs.Tela, fatigado	<no especfificado>		9	Libro	1				
1773	Economía y los reaccionarios, La	García Pérez, Guillermo			Cuadernos para el diálogo Economía	Madrid	1974			Rústica					<p>212</p>	Fatigado		3	Libro	1				
137	Jeune enfant dans la civilisation modern	Gesell, Arnold-ILg, F. L			Presses universitaires de France		1967			Rústica					220	Aceptable		5	Libro	1				
1004	Anita, fiel a su memoria	Gonzalez Lucas, Modesto			Legacom	Madrid	1999			Cartoné editorial					225. Dos tomos: biografía y libro de firmas, tomo 1º, estuche	Excelente		11	Libro	1				
1397	Educación especial - Organización escolar y didáctica	Gonzalvo Mainar, G			Morata	Madrid	1967			Rústica					<p>226</p>	aceptable		5	Libro	1				
1404	Método de de educación especial	Haring, Norris G. - Schiefelbusch, R.L			Magisterio  español	Madrid	1969			Rústica					<p>232. con firma del anterior propietario en portada</p>	Fatigado		9	Libro	1				
1660	Legión blanca, La	Harlope			Salvat	Barcelona	1941			Tela editorial					<p>233. con firma del anterior propietario</p>	Aceptable		4	Libro	1				
1376	¿Como se llama usted?. El nombre por el caracter	Harmency			B. Bauzá	Barcelona	1932			Rústica					<p>234</p>	Deteriorado		5	Libro	1				
73	Educación de los niños excepcionales, la	Heck, Arch			Nova		1953								235	<no especfificado>		12	Libro	1				
1277	Curso para alféreces	Hijar, José			Selecciones gráficas Manuales de instrucción premilitar super	Madrid				Rústica					239. algo deteriorado	Regular		6	Libro	1				
1619	Aquel señor de las barbas..., Historia y enseñanzas de un reloj loco	Huidobro Pardo, Enrique			Escelicer Biblioteca de lecturas ejemplares	Cádiz	1946			Rústica					<p>243. lomo deteriorado</p>	Fatigado		3	Libro	1				
1665	Elementos de Geografía física y humana	Izquierdo Croselles, Joaquín			Prieto		1944			Cartoné editorial					<p>249. Obra dividida en cuatro partes :Cosmografía - Fisiografía - Razas y pueblos y Geografía económica en 82 pgs., a continuación Geografía de Europa en 86pgs., Geografía universal en 106pgs. y Geografía de España en 75pgs</p>	Aceptable		5	Libro	1				
202	Psicología del niño	Jersild,Arthur T			EUDEBA Psicología		1961			Rústica					250	Aceptable		7	Libro	1				
199	Poesía y prosa	Jiménez, Juan Ramón			Seix Barral Obras maestras		1983			Rústica					251	Aceptable		4	Libro	1				
1647	Canción de la pulga, La	Kesh, Gerald			José Janés Manantial que no cesa	Barcelona	1949			Tela editorial					<p>256</p>	Aceptable		4	Libro	1				
894	Sensibilidad sexual de la mujer	Kronhausen, P. y Eberhard			Siglo Veinte		1969			Rústica					<p>257. Buenos Aires, 21x15, 271pgs., rústica, fatigado, prefacio de Simone de Beauvoir</p>	Fatigado		6	Libro	1				
7	America media	Lasserre, Guy			Ariel		1975								<p>261</p>	Fatigado		5	Libro	1				
514	Pais de los medianos, El	Lopez de Haro. R			Ramón Sopena										<p>266. Barcelona,18x12, 298pgs., cartoné, fatigado 0</p>	Algo deteriorado		6	Libro	1				
40	Cleopatre	Ludwig, Emil			Plon		1955			Rústica					271. rústica con sobrecubierta, deteriorado	<no especfificado>		6	Libro	1				
1606	Piel, La	Malaparte, Curzio			Plaza&Janés	Barcelona	1971			guaflex editorial					<p>274. con sobrecubierta de plástico</p>	Aceptable		6	Libro	1				
197	Pinzones y el descubrimiento de américa.  3 tomos	Manzano Manzano, Juan			Cultura hispanica quinto centenario		1988			Cartoné editorial						Aceptable		35	Libro	1				
1793	Mi sevilla	Marías, J.- Gibson, I.- Ayala, F. y otro			Focus	Sevilla	1995			Tela editorial					<p>278. 250pgs. de  texto y fotografías y alrededor de 80pgs. con fotografías tambien en color</p>	Aceptable		12	Libro	1				
807	Gran guerra en la obra de Hemingway y Dos Passos, La	Marin Madrazo, Pilar			Almar		1980			Rústica					279. Salamanca, 21x13, 226pgs., rústica	<no especfificado>		4	Libro	1				
702	Príncipe que forjó una república, El	Marques de Quintanar			Calleja Grandes biografias históricas		1958			Rústica					<p>280. Madrid, 23x17, 279pgs</p>	Aceptable		8	Libro	1				
1585	Alimaña - Princesa juega, La	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1921			Tela editorial					<p>281. Con sello.Primera obra, drama en 4 actos, Segunda, comedia poética en 2 actos</p>	Aceptable		6	Libro	1				
1667	Beso en la herida, El	Marquina, Eduardo			Betis Trébol	Barcelona	1941			Tela					<p>282. con dedicatoria del anterior propietario</p>	Aceptable		6	Libro	1				
1575	Cuando florezcan los rosales	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1923			Tela editorial					<p>283. Comedia en 3 actos, en prosa</p>	aceptable		6	Libro	1				
1576	En el nombre del padre	Marquina, Eduardo		1ª Edición	Reus Bibliot. literaria de autores españoles	Madrid	1936			Tela editorial		1ª Edición			<p>285. pequeñas manchas en canto superior, con sello, roto en guarda posterior</p>	Aceptable		6	Libro	1				
1570	Erase una vez en Bagdad	Marquina, Eduardo		1ª Edición	Reus Bibliot. literaria de autores españoles	Madrid	1932			Tela editorial		1ª Edición			<p>286. pequeñas manchas de humedad en últimas páginas</p>	aceptable		6	Libro	1				
1567	Ermita, La fuente y el río, La	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1927			Tela editorial					<p>287. Drama en 3 actos, en verso</p>	Aceptable		6	Libro	1				
1577	Fruto bendito	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1927			Tela editorial					<p>288. con sello</p>	aceptable		6	Libro	1				
1582	Julianes, Los	Marquina, Eduardo		1ª Edición	Reus Bibliot. literaria de autores españoles	Madrid	1932			Tela editorial		1ª Edición			<p>291. Madrid, 18x12, 247pgs., tela edit., primera edición.Drama en 3 actos</p>	Aceptable		6	Libro	1				
1589	María, la viuda	Marquina, Eduardo			Ediciones españolas	Madrid	1943			Rústica					<p>292. Con cubiertas deterioradas y pequeñas manchas de humedad en los cantos</p>	Deteriorado		5	Libro	1				
1580	Mi huerto en la ladera	Marquina, Eduardo			Jacobo Peuser	Buenos Aires				Tela editorial					<p>293. Intonso</p>	Aceptable		6	Libro	1				
1568	Monje blanco, El	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1930			Tela editorial					<p>294. con pequeñas manchas en últimas páginas</p>	aceptable		6	Libro	1				
1566	Pobrecito carpintero, El	Marquina, Eduardo			Reus	Madrid	1924			Tela editorial					<p>295. pequeños rotos en la parte superior de 4 páginas sin afectar al texto</p>	aceptable		6	Libro	1				
1669	Por los pecados del Rey, Las flores de Aragón, Gran capitán, El	Marquina, Eduardo			Reus	Madrid	1936			Tela editorial					<p>296. Tomo II de obras completas</p>	Aceptable		6	Libro	1				
1587	Pueblos y su alma, Los (1917-1936)	Marquina, Eduardo			Jacobo Peuser	Buenos Aires	1936			Tela editorial					<p>297</p>	Aceptable		6	Libro	1				
1572	Retablo de Agrellano, El	Marquina, Eduardo			Renacimiento	Madrid	1914			Tela editorial					<p>298</p>	Aceptable		6	Libro	1				
1569	Salvadora	Marquina, Eduardo		1ª Edición	Reus Bibliot. literaria de autores españoles	Madrid	1929			Tela editorial		1ª Edición			<p>299. con sello en primera página.Drama rural, en 3 actos y en verso</p>	Aceptable		6	Libro	1				
1578	Sin horca ni cuchillo	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1929			Tela editorial					<p>300. con sello. Drama en 3 actos</p>	Aceptable		6	Libro	1				
1573	Una noche en Venecia	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1923			Tela editorial					<p>301</p>	aceptable		6	Libro	1				
